Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-05-07,431.86951,452.74422,431.61274,441.88615,20.36100047,9150.10649257,449.393756758
2014-05-08,446.26122,451.99976,441.809,448.26174,5.78832423,2576.95415939,445.198654566
2014-05-09,441.809,459.22214,441.809,450.62503,4.09387172,1847.73644659,451.342048058
2014-05-10,450.62503,458.0,446.0967,454.98804,5.47533447,2455.73991695,448.509571498
2014-05-11,450.48544,450.48544,432.87805,441.49669,11.52882673,5065.61334103,439.386718152
2014-05-12,437.12758,445.22171,432.21299,440.81786,7.19154535,3143.92843098,437.170076524
2014-05-13,444.7599,444.7599,436.44999,440.779,4.50666206,1975.67809126,438.390557125
2014-05-14,440.779,445.52,440.779,445.52,0.87112735,384.925892774,441.87097647
2014-05-15,440.89002,449.58704,440.89001,449.58704,3.01861596,1333.65194668,441.809082161
2014-05-16,447.1,453.83236,447.1,453.83236,5.59012563,2517.49275472,450.346364526
2014-05-17,450.53999,453.83236,446.20001,453.83236,0.20613549,92.9201609856,450.772261417
2014-05-18,448.25001,453.80005,445.56,445.56,2.57977675,1151.52377396,446.365668643
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,449.995,498.83996,449.995,493.42751,25.27530064,11926.2289462,471.853099437
2014-05-21,493.77,497.66941,490.84583,494.77454,4.23843949,2092.03719389,493.586660568
2014-05-22,494.77454,530.0,494.77454,530.0,32.85014711,16875.6749709,513.716876653
2014-05-23,530.0,548.05423,515.31152,521.46849,14.81544309,7949.09155799,536.540926228
2014-05-24,520.3605,529.99999,515.20587,529.99999,2.61761047,1364.12504557,521.133706182
2014-05-25,529.99999,589.0,529.99999,574.04983,15.82522002,8890.60883611,561.800014462
2014-05-26,570.88904,589.10847,563.67667,583.19989,10.94860085,6369.71503799,581.783474003
2014-05-27,583.2099,594.64098,538.83992,575.53537,26.97925274,15431.3376092,571.970534468
2014-05-28,576.56534,589.16,565.21589,575.83232,5.44505641,3124.01753406,573.734650081
2014-05-29,576.26171,576.26171,564.90155,570.4918,1.40277637,799.121734348,569.671511039
2014-05-30,570.49181,628.60534,566.15006,616.0802,18.17342865,10881.4828824,598.75783992
2014-05-31,611.7129,629.0355,603.86986,629.0355,19.36684462,12062.0256264,622.818319815
2014-06-01,627.0,673.37263,621.79217,628.96746,33.09343296,21314.4138785,644.067779375
2014-06-02,633.74909,672.63919,621.79217,660.0,12.30851363,8027.0595881,652.155071636
2014-06-03,663.29883,677.90898,652.26309,671.42938,14.68401162,9784.40882082,666.330773499
2014-06-04,665.4967,665.4967,525.0,650.47674,59.16308711,37262.1358951,629.820682376
2014-06-05,650.47674,669.74995,650.44672,657.01,15.16377686,9940.39960392,655.535866539
